9.159217033	1
9.186776144	2
9.246143424	3
9.251229153	4
9.295851753	5
9.298149314	6
9.341332311	7
9.350149916	8
9.363437278	9
9.365700733	10
9.416521876	11
9.459267569	12
9.503758555	13
9.522738696	14
9.526097033	15
9.616430816	16
9.643630546	17
9.657902216	18
9.694711993	19
9.776185067	20
9.821632942	21
10.109075219	22
10.123566614	23
10.129031882	24
10.294537595	25
11.024739856	26
11.100135209	27
11.145409314	28
11.163144222	29
16.226122694	30
83.619228319	31
83.673060061	32
83.728435091	33
83.737661802	34
83.744396095	35
83.844568251	36
83.877926174	37
83.976758515	38
83.978203926	39
83.978829137	40
83.991505325	41
85.294799062	42
