9.330464375	1
9.372834868	2
9.393976147	3
9.545298204	4
9.777078459	5
9.789472106	6
9.802125799	7
9.80266095	8
9.80714866	9
9.818828254	10
9.822313972	11
9.853522748	12
9.870003848	13
9.895096472	14
9.906490181	15
9.914957665	16
10.118700716	17
10.160996358	18
10.165282418	19
10.182682716	20
10.201529809	21
10.236536089	22
10.256344845	23
10.266168246	24
10.278719412	25
10.279636985	26
10.294298939	27
10.333457095	28
10.341622365	29
10.349422385	30
10.356082069	31
10.463414909	32
10.599930558	33
10.634829167	34
10.768749385	35
10.833452702	36
10.838531984	37
10.885757604	38
10.887075502	39
10.888299946	40
10.901029871	41
10.905190472	42
10.91689313	43
10.945783114	44
11.585298581	45
11.596889308	46
11.800532522	47
11.822709636	48
11.910068984	49
12.434072672	50
12.978188656	51
14.699538483	52
14.72280038	53
15.010038457	54
15.124672552	55
15.510656407	56
15.97302523	57
16.20872456	58
17.325060627	59
17.988230061	60
18.889102233	61
19.225529894	62
19.42065778	63
19.529534487	64
20.061617936	65
20.259591169	66
22.191446521	67
24.519147749	68
24.872707296	69
26.188494199	70
28.841617516	71
29.42018602	72
30.317883028	73
30.352837122	74
30.405053087	75
31.540524751	76
32.472493978	77
32.589759253	78
33.224066304	79
33.319988371	80
33.808509488	81
35.558080916	82
35.654756991	83
36.970402721	84
38.324099539	85
38.526008172	86
42.525168702	87
45.12828185	88
48.030143226	89
48.030459275	90
49.475997962	91
49.883701327	92
50.630105581	93
52.801376829	94
53.872849312	95
57.631191786	96
60.427316056	97
60.690749893	98
63.194542142	99
66.759267116	100
70.62374832	101
72.758151684	102
78.583430982	103
82.846038074	104
87.822933956	105
91.976030478	106
97.80954062	107
97.920978322	108
99.387776745	109
105.35510567	110
111.641992397	111
129.289953448	112
139.754258604	113
159.26339883	114
167.431574361	115
184.469860972	116
201.324143181	117
216.534542865	118
236.418307721	119
248.990153858	120
