46.434531713	1
46.516195424	2
46.552078962	3
46.634980871	4
46.646094713	5
46.756979971	6
46.770399058	7
46.791350905	8
46.885046724	9
47.015263593	10
47.447691606	11
49.471083678	12
49.481887741	13
49.486903149	14
49.491852233	15
49.625742805	16
49.648098244	17
49.652771579	18
49.735472565	19
49.739383347	20
49.742663433	21
49.828155559	22
49.882105624	23
50.022049135	24
50.031818636	25
50.038951509	26
50.064854455	27
50.198450004	28
76.711073648	29
452.960363965	30
456.574849492	31
484.861110597	32
488.366734906	33
597.383568236	34
