6.303252332	1
6.309421192	2
6.319567147	3
6.324980803	4
6.329813058	5
6.333446084	6
6.333916019	7
6.337740839	8
6.337896363	9
6.338240191	10
6.345998038	11
6.347949816	12
6.34891819	13
6.350073258	14
6.359384519	15
6.365130737	16
6.365638349	17
6.367203321	18
6.370373567	19
6.373677188	20
6.378478634	21
6.401397683	22
6.414286256	23
9.540093864	24
9.545138438	25
9.572111272	26
12.476205953	27
12.483653368	28
12.515126423	29
12.518587612	30
12.525090432	31
15.525628425	32
18.432872634	33
18.451636259	34
18.465990706	35
18.467231604	36
18.46764201	37
18.469227566	38
18.469717205	39
18.478050507	40
18.493820049	41
24.427585048	42
26.660579295	43
26.664980069	44
26.672259097	45
26.672685887	46
26.679200348	47
26.681060471	48
26.681810657	49
26.683022863	50
26.684206006	51
26.698158304	52
26.698942663	53
26.700852498	54
26.702412731	55
26.70350423	56
26.703549726	57
26.70770055	58
26.709248741	59
26.716225366	60
26.725022018	61
26.73387548	62
