16.545237937	1
16.980535895	2
17.0034495	3
17.121992188	4
17.303009334	5
17.396743063	6
17.499203966	7
17.634995828	8
17.649585732	9
17.715170317	10
17.780093291	11
17.827010073	12
18.033584449	13
18.082945174	14
18.192584357	15
18.200506516	16
18.212589562	17
18.217425924	18
18.259489342	19
18.299526124	20
18.318325354	21
18.34713932	22
18.369134675	23
18.386533665	24
18.492032921	25
18.51140284	26
18.539814796	27
18.547196449	28
18.554030559	29
18.698924769	30
18.718534033	31
18.894236916	32
19.174138221	33
19.276353985	34
19.303262448	35
19.461373171	36
19.818661225	37
20.301533517	38
20.407434639	39
20.586759776	40
