12.202246664	1
12.218793082	2
12.418583744	3
12.512100477	4
12.712901583	5
12.758128182	6
13.214325266	7
13.55908738	8
13.566594227	9
13.701771928	10
13.709327215	11
13.785435709	12
13.786482289	13
13.806226061	14
13.865570889	15
14.037229744	16
14.298975388	17
14.453054395	18
14.480756143	19
14.729278322	20
14.954714999	21
15.523764513	22
15.698803966	23
15.721498319	24
16.836585928	25
17.226234324	26
18.836980803	27
44.066044782	28
57.085102394	29
60.777665857	30
64.350155047	31
78.055221075	32
