16.020810986	1
16.139479932	2
16.240270792	3
16.414926869	4
16.55940483	5
17.420099633	6
17.8076492	7
18.882477764	8
18.973053375	9
20.229962523	10
20.427022061	11
20.562624862	12
20.643117116	13
20.656730367	14
21.411220341	15
21.840332329	16
21.917262055	17
22.015382956	18
22.803261897	19
22.812907072	20
22.861191793	21
22.956376703	22
23.037230597	23
23.29016894	24
23.42106989	25
25.422117417	26
26.006892376	27
26.383608243	28
27.446176466	29
28.442364686	30
28.47917971	31
29.356462179	32
30.143267437	33
32.653981352	34
33.983835131	35
34.701894683	36
34.707806739	37
38.014409665	38
40.111535208	39
48.295886041	40
